stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,text_12.stopped,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,image_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,condition_1/rightstar.PNG,right,,,,,0,0,0,4,,,,,,,,,117.58315530000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.46797070000048,117.58315530000073,117.96273980000024,117.96277200000077,118.46154260000003,119.06454160000067,118.74600500000088,118.74603360000037,120.07523530000071,120.07523530000071,120.87824620000083,121.16342870000062,right,1,1.0784505999999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/blank.PNG,space,,,,,0,1,1,9,,,,,,,,,121.22337700000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.16519900000003,121.22337700000026,121.67981690000033,121.67984640000032,122.17826650000006,122.5658110000004,122.46316640000077,122.46319600000061,123.77940960000069,123.77940960000069,124.57842990000063,125.51377110000067,space,1,1.7248488000004727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,2,2,23,,,,,,,,,125.57848120000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.51485200000025,125.57848120000017,126.02904360000048,126.02906580000035,126.52829460000066,127.05510350000077,126.81311930000084,126.81314590000056,128.13030080000044,128.13030080000044,128.92852260000018,129.2806188000004,right,0,1.1422474999999395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,3,3,24,,,,,,,,,129.34378180000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.28184740000052,129.34378180000022,129.79553750000014,129.7955595000003,130.29530120000072,130.72088670000085,130.5793276000004,130.57936300000074,131.89718060000087,131.89718060000087,,132.5145867000001,left,0,0.6000584999992498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,4,4,6,,,,,,,,,132.58712730000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.51572130000022,132.58712730000025,133.02901770000062,133.0290416000007,133.52835770000002,133.99157200000082,133.81266770000002,133.8126942000008,135.13035260000015,135.13035260000015,135.92820230000052,136.54663940000046,right,0,1.4126246999994692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/leftstar.PNG,left,,,,,0,5,5,16,,,,,,,,,136.6065748000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.54764200000045,136.6065748000001,137.06228680000004,137.06231490000027,137.56169110000064,137.99495250000018,137.84653380000054,137.84657210000023,139.16398880000088,139.16398880000088,,139.26422140000068,space,0,0.09288659999947413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/leftstar.PNG,space,,,,,0,6,6,2,,,,,,,,,139.3224682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2653020000007,139.3224682,139.7795442000006,139.77957520000018,140.2786797000008,140.7049136000005,140.5629142000007,140.56295190000037,141.88015970000015,141.88015970000015,,142.61411770000086,left,0,0.7220244999998613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/leftstar.PNG,left,,,,,0,7,7,0,,,,,,,,,142.67439210000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.61517790000016,142.67439210000066,143.1294400000006,143.12946340000053,143.62820910000028,144.03873050000038,143.91323020000073,143.91326580000077,145.23084260000087,145.23084260000087,146.04493320000074,146.76317760000074,left,1,1.5216583000001265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/leftstar.PNG,space,,,,,0,8,8,18,,,,,,,,,146.82210900000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.76423630000045,146.82210900000064,147.27887890000056,147.2788928,147.7783317000003,148.1964699,148.06292550000035,148.0629512000005,149.3803368000008,149.3803368000008,150.1947097000002,151.7299318000005,left,0,2.333565100000669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,9,9,1,,,,,,,,,151.79115690000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.73092820000056,151.79115690000071,152.24603450000086,152.24608530000023,152.7450830000007,153.1603167000003,153.02920840000024,153.02923520000058,154.34728390000055,154.34728390000055,,155.0306668000003,left,1,0.6673217999996268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,10,10,3,,,,,,,,,155.08501800000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.03146930000003,155.08501800000067,155.5458182000002,155.54583940000066,156.04501120000077,156.4590186000005,156.32941930000015,156.32944440000028,157.6475369000009,157.6475369000009,,158.26481250000052,space,1,0.6142565000000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/rightstar.PNG,right,,,,,0,11,11,12,,,,,,,,,158.32584990000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.2659418000003,158.32584990000032,158.77902770000037,158.77908070000012,159.2783653000006,159.68585430000076,159.56290770000032,159.56293890000052,160.88085840000076,160.88085840000076,161.69479780000074,162.13009930000044,right,1,1.2476513000001432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/blank.PNG,space,,,,,0,12,12,8,,,,,,,,,162.19165770000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.1316093000005,162.19165770000018,162.64563940000062,162.64566060000016,163.14521720000084,163.58030230000077,163.4293600000001,163.42938740000045,164.74680230000013,164.74680230000013,165.56141500000012,165.93003350000072,space,1,1.1769506999999066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,13,13,19,,,,,,,,,165.9863051000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.9310789000001,165.9863051000002,166.44591370000035,166.44594490000054,166.94484940000075,167.4815518000005,167.23004870000022,167.23013320000064,168.5474546000005,168.5474546000005,,169.23127900000054,left,0,0.680532200000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/rightstar.PNG,left,,,,,0,14,14,5,,,,,,,,,169.3445246000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.2846743,169.3445246000001,169.7959724000002,169.7959948000007,170.2953253000005,170.7220881000003,170.5791495000003,170.57917290000023,171.8975145000004,171.8975145000004,172.7117343,172.83004380000057,right,0,0.9274943000000349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,15,15,22,,,,,,,,,172.8886691000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.83102040000085,172.8886691000007,173.34568900000068,173.3457111000007,173.8449786000001,174.2544622000005,174.12911210000038,174.12914160000037,175.4475265000001,175.4475265000001,,176.16411330000028,left,1,0.7078541000000769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/blank.PNG,space,,,,,0,16,16,11,,,,,,,,,176.2319933000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.16510950000065,176.2319933000008,176.67893250000088,176.67896200000087,177.17869360000077,177.5607041000003,177.4628040000007,177.46283270000004,178.77944900000057,178.77944900000057,179.5785035000008,181.33032660000026,space,1,2.546468499999719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,17,17,17,,,,,,,,,181.39754640000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.33140790000016,181.39754640000046,181.8458412,181.8458980000005,182.34528750000027,182.79382780000014,182.62958620000063,182.62962080000034,183.94748040000013,183.94748040000013,,184.681106,left,1,0.7162441000000399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/rightstar.PNG,space,,,,,0,18,18,15,,,,,,,,,184.74044630000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.68236980000074,184.74044630000026,185.1958540000005,185.19588470000053,185.69536720000087,186.10565730000053,185.97964140000022,185.97967980000067,187.29721540000082,187.29721540000082,188.11195900000075,188.1299183000001,right,0,0.8192257000000609,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/rightstar.PNG,right,,,,,0,19,19,13,,,,,,,,,188.19800430000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.1309198000008,188.19800430000032,188.64596950000032,188.64599280000039,189.14489240000057,189.58577070000047,189.4297361000008,189.4297647000003,190.74711080000088,190.74711080000088,,191.48066860000017,right,1,0.7236431000001176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/blank.PNG,space,,,,,0,20,20,10,,,,,,,,,191.5508789000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.48170460000074,191.5508789000005,191.99635480000052,191.99637770000027,192.49507260000064,192.92009410000082,192.77895920000083,192.77899230000003,194.0963281000004,194.0963281000004,,194.8309175000004,space,1,0.7325350000000981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/blank.PNG,space,,,,,0,21,21,20,,,,,,,,,194.89817180000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.83200690000012,194.89817180000045,195.34580330000063,195.3458580000006,195.8451397000008,196.17115110000032,196.12904610000078,196.1290753000003,197.44619600000078,197.44619600000078,198.24534360000052,199.42997090000063,space,1,1.975327300000572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,22,22,14,,,,,,,,,199.50393000000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.43110380000053,199.50393000000076,199.94588340000064,199.94590590000007,200.44513430000006,200.97710280000047,200.7293791000002,200.72941160000028,202.04713920000086,202.04713920000086,,202.49878630000057,right,0,0.4498476999997365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/rightstar.PNG,right,,,,,0,23,23,21,,,,,,,,,202.58465550000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.5001073000003,202.58465550000074,203.01225180000074,203.01228250000077,203.51183170000058,203.96521010000015,203.7957765000001,203.79579990000002,205.11401060000026,205.11401060000026,,205.5648697000006,right,1,0.4425031000000672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
9,condition_1/rightstar.PNG,space,,,,,0,24,24,7,,,,,,,,,205.6294211000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.5660643000001,205.6294211000004,206.0798644000006,206.0798951000006,206.57842140000048,206.99184360000072,206.86273430000074,206.86276760000055,208.1804759000006,208.1804759000006,,208.56338250000044,right,0,0.369439400000374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
1,condition_1/leftstar.PNG,left,,,,,1,0,25,16,,,,,,,,,208.62146980000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.56411800000024,208.62146980000034,209.07926790000056,209.07928970000012,209.57831070000066,210.00023970000075,209.86263510000026,209.8626690000001,211.18056420000084,211.18056420000084,211.99481280000055,212.01331120000032,left,1,0.8213605999999345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
2,condition_1/leftstar.PNG,left,,,,,1,1,26,17,,,,,,,,,212.07339120000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.01441370000066,212.07339120000051,212.52908600000046,212.52913810000064,213.02849510000033,213.45862020000004,213.31264620000002,213.31267490000027,214.6303527,214.6303527,,215.21508090000043,left,1,0.5693573000007746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2023-11-12_14h59.09.711,untitled,2023.2.2,60.11230180228108,2023-11-12 14h59.23.437665 +0800,
