stimuli,star,CorrectAns,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,routine_21.started,text_9.started,key_resp_8.started,routine_21.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,introduction.started,text_6.started,key_resp_5.started,introduction.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,routine_14.started,image_6.started,routine_14.stopped,routine_16.started,text_4.started,text_4.stopped,routine_16.stopped,routine_17.started,image_7.started,key_resp_3.started,routine_17.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,image_7.stopped,routine_20.started,text_8.started,key_resp_7.started,routine_20.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_18.started,text_5.started,key_resp_4.started,routine_18.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,trial.started,image_3.started,trial.stopped,routine.started,text_3.started,text_3.stopped,routine.stopped,routine_1.started,image_2.started,key_resp.started,image_2.stopped,routine_1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_22.started,text_10.started,key_resp_9.started,routine_22.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,routine_19.started,text_7.started,key_resp_6.started,routine_19.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,routine_23.started,image_8.started,routine_23.stopped,routine_24.started,text_11.started,text_11.stopped,routine_24.stopped,routine_25.started,image_9.started,key_resp_10.started,routine_25.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,image_9.stopped,routine_26.started,text_12.started,key_resp_11.started,routine_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_27.started,text_13.started,key_resp_12.started,routine_27.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,routine_10.started,image_4.started,routine_10.stopped,routine_11.started,text.started,text.stopped,routine_11.stopped,routine_12.started,image_5.started,key_resp_2.started,image_5.stopped,routine_12.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,condition_1/rightstar.PNG,right,,,,,0,3,3,12,,,,,,,,,51.15071539999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02215000000001,51.15071539999997,51.537153099999955,51.53717659999995,52.03672599999993,52.523948599999926,52.32096249999995,52.32098939999992,53.638676799999985,53.638676799999985,54.45321489999992,54.52158279999992,right,1,0.8730821000000333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/rightstar.PNG,right,,,,,0,4,4,4,,,,,,,,,54.579130299999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.522615299999984,54.579130299999974,55.03748239999993,55.037506599999915,55.536652199999935,56.00042719999999,55.8209096999999,55.82093629999997,57.138503499999956,57.138503499999956,,57.7386113,right,1,0.5831764999999223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/blank.PNG,space,,,,,0,5,5,8,,,,,,,,,57.80814620000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.73972119999996,57.80814620000001,58.25407199999995,58.25409509999997,58.75307669999995,59.13799599999993,59.03777739999998,59.03780999999992,60.354769799999985,60.354769799999985,61.16987949999998,61.50482679999993,space,1,1.1391587000000527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,6,6,22,,,,,,,,,61.56526569999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.50586909999993,61.56526569999994,62.02072820000001,62.02076009999996,62.52012659999991,63.05027759999996,62.80394419999993,62.80397110000001,64.1223999,64.1223999,,64.75557909999998,left,1,0.6299569000000247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/leftstar.PNG,space,,,,,0,7,7,2,,,,,,,,,64.82231359999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.75669069999992,64.82231359999992,65.27158039999995,65.27160889999993,65.76950469999997,66.2006533,66.05443449999996,66.05445999999995,67.37196529999994,67.37196529999994,68.18631529999993,69.98767999999995,space,1,2.598625699999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/blank.PNG,space,,,,,0,8,8,9,,,,,,,,,70.04465619999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.98884029999999,70.04465619999996,70.5037807,70.5038070999999,71.00328219999994,71.39349149999998,71.28823309999996,71.28829129999997,72.60436879999997,72.60436879999997,73.4029286,73.62346319999995,space,1,1.0091456000000107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/leftstar.PNG,left,,,,,0,9,9,16,,,,,,,,,73.71528449999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.62437460000001,73.71528449999994,74.13664729999994,74.13666119999993,74.63635599999998,75.19576949999998,74.92087249999997,74.9208994999999,76.23905849999994,76.23905849999994,,76.85658969999997,left,1,0.6059007000000065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,10,10,14,,,,,,,,,76.9378418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.85768459999997,76.9378418,77.37043869999991,77.37045149999994,77.8699408,78.30827019999992,78.15458860000001,78.15461749999997,79.47213999999997,79.47213999999997,80.28630349999992,80.2878796,space,1,0.8076141999999891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/leftstar.PNG,left,,,,,0,11,11,0,,,,,,,,,80.35020009999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.28887759999998,80.35020009999994,80.80325699999992,80.80326789999992,81.30318269999998,81.74632589999999,81.5874301,81.5874546,82.90567849999991,82.90567849999991,,83.65744069999994,left,1,0.7471506000000545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/rightstar.PNG,space,,,,,0,12,12,7,,,,,,,,,83.72122909999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.65846069999998,83.72122909999996,84.17041129999996,84.17043259999991,84.6698007,85.09896949999995,84.9540197,84.9540452,86.27154949999999,86.27154949999999,,86.87162059999991,space,1,0.5963743999999451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/leftstar.PNG,left,,,,,0,13,13,1,,,,,,,,,86.92605589999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.87218009999992,86.92605589999994,87.38675269999999,87.38676899999996,87.88638619999995,88.31386999999995,88.17022149999991,88.17023359999996,89.48870749999992,89.48870749999992,,90.20550509999998,left,1,0.7021952000000056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/rightstar.PNG,right,,,,,0,14,14,21,,,,,,,,,90.26285969999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2064742,90.26285969999992,90.72046499999999,90.72048869999992,91.2194657,91.63156619999995,91.5042062,91.50422979999996,92.8225347,92.8225347,,93.4726263,right,1,0.6349013999999897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,15,15,3,,,,,,,,,93.5389161999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4737907,93.5389161999999,93.98733559999994,93.98737080000001,94.48632869999994,94.90035379999995,94.77046139999993,94.7704862999999,96.0885702999999,96.0885702999999,,96.8387616,space,1,0.7366445999999769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/rightstar.PNG,right,,,,,0,16,16,13,,,,,,,,,96.89889269999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8398032,96.89889269999992,97.3540749,97.35412769999994,97.85304029999998,98.26692029999992,98.1377263999999,98.13775620000001,99.45519139999999,99.45519139999999,,100.18979359999992,right,1,0.7311525000000074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
2,condition_1/rightstar.PNG,left,,,,,0,17,17,5,,,,,,,,,100.24536819999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.19080359999998,100.24536819999992,100.70376439999995,100.70380899999998,101.2029407,101.61699979999992,101.48773080000001,101.48775769999997,102.8053486,102.8053486,,103.32185489999995,right,0,0.510531599999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,18,18,23,,,,,,,,,103.37953479999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.32283659999996,103.37953479999999,103.83750999999995,103.83753539999998,104.33644059999995,104.75441449999994,104.62087969999993,104.62090839999996,105.93838589999996,105.93838589999996,,106.33890409999992,space,1,0.3968542999999727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/rightstar.PNG,space,,,,,0,19,19,6,,,,,,,,,106.39654580000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.33994899999993,106.39654580000001,106.85374969999998,106.8537728,107.35313009999993,107.78273549999994,107.63785999999993,107.63791089999995,108.95507629999997,108.95507629999997,,109.60506190000001,space,1,0.6464886999999635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/leftstar.PNG,space,,,,,0,20,20,24,,,,,,,,,109.66432349999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.60604939999996,109.66432349999991,110.12045969999997,110.12051389999999,110.61961939999992,111.0436795999999,110.90404879999994,110.90408009999999,112.22174889999997,112.22174889999997,,112.83865949999995,space,1,0.610099400000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/blank.PNG,space,,,,,0,21,21,11,,,,,,,,,112.89997589999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.83977329999993,112.89997589999996,113.35364959999993,113.35367339999993,113.85312179999994,114.2817268,114.13808319999998,114.13811959999998,115.45445649999999,115.45445649999999,116.25310609999997,117.40463179999995,space,1,1.9438641999998936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/leftstar.PNG,space,,,,,0,22,22,18,,,,,,,,,117.46375519999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.405755,117.46375519999992,117.92030879999993,117.92033059999994,118.42005239999992,118.96610399999997,118.70437689999994,118.70440809999991,120.02193809999994,120.02193809999994,,120.50524969999992,space,1,0.47457040000006145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
8,condition_1/blank.PNG,space,,,,,0,23,23,10,,,,,,,,,120.57513029999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.50625930000001,120.57513029999996,121.02039830000001,121.02042510000001,121.51997799999992,121.90097700000001,121.80457949999993,121.80460310000001,123.12076219999994,123.12076219999994,,123.68885589999991,space,1,0.5586909999999534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/rightstar.PNG,space,,,,,0,24,24,15,,,,,,,,,123.7462812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.69000289999997,123.7462812,124.20373199999995,124.20375339999998,124.70334689999993,125.23499429999993,124.98787959999993,124.9879067999999,126.30515879999996,126.30515879999996,,126.92180769999993,space,1,0.6142853999999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
1,condition_1/leftstar.PNG,left,,,,,1,0,25,0,,,,,,,,,126.99131869999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.92277619999993,126.99131869999997,127.43702429999996,127.4370748,127.93638049999993,128.37797769999997,128.2213438,128.2213967,129.53832009999996,129.53832009999996,,129.97195579999993,left,1,0.4222050999999283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/blank.PNG,space,,,,,1,1,26,11,,,,,,,,,130.03651939999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.9729784,130.03651939999997,130.4873007,130.48733649999997,130.98670099999993,131.36178789999997,131.2714423,131.27146829999992,132.58783119999998,132.58783119999998,133.40314409999996,133.65799319999996,space,1,1.067811900000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
9,condition_1/leftstar.PNG,space,,,,,1,2,27,24,,,,,,,,,133.73771309999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.65899579999996,133.73771309999995,134.17090099999996,134.17092259999993,134.67006909999998,135.2341705,134.9544851999999,134.95452379999995,136.27162929999997,136.27162929999997,137.08661559999996,137.12209109999992,space,1,0.8425144000000273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-11-11_13h18.58.683,untitled,2023.2.2,59.93234836516178,2023-11-11 13h19.07.357391 +0800,
